locus_tag	b_theta_rnaseq_WT_vs_del_MasB_log2FoldChange	b_theta_rnaseq_WT_vs_del_MasB_p_value	b_theta_rnaseq_WT_vs_del_MasB_padj
BT_0194	-0.139477199649057	0.592465013317182	NA
BT_0195	-0.15179606572976	0.487278936645198	0.829666649225119
BT_0196	-0.090111035659181	0.727590396198629	NA
BT_0197	-0.25849134467639	0.134524874420735	0.483523099710677
BT_0198	-0.149233271777867	0.575529860710915	NA
BT_0199	0.008867519237758	0.94320742077198	0.989549630063186
BT_0200	0.042637043560224	0.717201063748765	0.92860534050132
BT_0201	-0.089022036246059	0.444930280005544	0.811565251515597
BT_0202	-0.032559410635037	0.81269837649357	0.960485581262911
BT_0203	0.001196232017806	0.992538809533122	0.998628264712744
BT_0204	-0.196378011260004	0.356415982406369	0.739149607485038
BT_0205	0.08570850783026	0.442075760421364	0.808571001467949
BT_0206	-0.056865775629199	0.823785944714148	NA
BT_0207	-0.026960104054459	0.905604984626894	NA
BT_0208	-0.022661678237759	0.929826106622811	NA
BT_0209	-0.113173262306104	0.672536218750929	NA
BT_0210	-0.186692704992521	0.482550907474534	NA
BT_0211	0.003810776382633	0.988437745279655	NA
BT_0212	0.161658280767073	0.53450140935922	NA
BT_0213	-0.073886580594367	0.780820430997886	NA
BT_0214	-0.308150515983181	0.179473562932796	0.560318913627218
BT_0215	-0.290396607640508	1.65518411774e-4	0.003626538135807
BT_0216	-0.16158958651797	0.034604291778143	0.22213526950215
BT_0217	-0.143457021679199	0.054634169399077	0.295719564839088
BT_0218	-0.305998806424767	0.022909793483249	0.165339121016189
BT_0219	-0.297386165090783	0.050942121014046	0.284575909603658
BT_0220	0.032799609885407	0.563338263732443	NA
BT_0221	0.008881540127948	0.938428518925112	0.987833702746544
BT_0222	0.152540919946809	0.337874681733036	0.7250957038871
BT_0223	0.10919696083579	0.556792570330398	0.868060929494042
BT_0224	0.094217799323108	0.659201110521843	0.907134002757485
BT_0225	-0.116556869075125	0.393091893741057	0.767105727572548
BT_0226	-0.694157381298525	0.007708925607331	0.077491645047322
BT_0227	0.194219017628435	0.066948427705566	0.33328475778866
BT_0228	-0.084783286698027	0.709769637893486	NA
BT_0229	-0.104081807253836	0.621923100867569	NA
BT_0230	-0.095061419018566	0.698369712932339	NA
BT_0231	-0.022063620755855	0.913557844839613	NA
BT_0232	0.25319958395415	0.33256712007254	NA
BT_0233	0.029556312427324	0.880346186401859	0.983198774735602
BT_0234	-0.005833090425718	0.975005010799676	0.994209212941533
BT_0235	-0.001400948645024	0.995680406619391	0.999016692277337
BT_0236	0.374328793135449	3.42979705008e-4	0.006711030698521
BT_0237	0.291609025367708	0.002567311221059	0.032504469750368
BT_0238	0.04927130642238	0.676770734340809	0.913091488551999
BT_0239	-0.002671651464537	0.975692429067296	0.994209212941533
BT_0240	-0.057156670837546	0.675309333841859	0.912436058231807
BT_0241	-0.389505390901164	1.82730955010071e-7	1.08588535365776e-5
BT_0242	-0.466633763356819	1.19590202952805e-8	9.51262070878942e-7
BT_0243	-0.044685796517416	0.738380367894873	0.93528329878075
BT_0244	-0.087160410268181	0.307851300405467	0.689368364861448
BT_0245	-0.114785796007334	0.257000924418666	0.653486019769214
BT_0246	0.120133512175614	0.648640489461283	NA
BT_0247	-0.025452318116954	0.895766776000514	0.983271369839468
BT_0248	-0.250769763072135	0.138969618403478	0.489017349662411
BT_0249	-0.167060877014299	0.061827200812352	0.317732763725273
BT_0250	0.081184825825258	0.39044895003919	0.766033623696191
BT_0251	0.054496471046917	0.547858777196552	0.865181419679897
BT_0252	-0.046150371307564	0.609705877514368	0.89394571621007
BT_0253	0.172438534999868	0.272288003134571	0.663187887942071
BT_0254	0.064111332619564	0.607022055210295	0.892005502013843
BT_0255	0.051188626398976	0.675951494129278	0.912659231372335
BT_0256	0.129377022433481	0.134774333112402	0.483944342353561
BT_0257	-0.047528939238254	0.540553202836821	0.864082205845316
BT_0258	0.170230689162886	0.102420412150475	0.42030195710324
BT_0259	-0.035872389475156	0.809103119291006	0.960295789752465
BT_0260	-0.229920041118722	0.006149396629959	0.065030758002948
BT_0261	-0.180455137730606	0.048264357853747	0.275936383416968
BT_0262	-0.173942137550842	0.360152220105017	NA
BT_0263	-0.068283528210381	0.787927237637469	0.957497762376453
BT_0264	-0.221483423371328	0.386705446927357	NA
BT_0265	0.244454208487128	0.239916830228719	NA
