MAPS_BTnc201_logFC	MAPS_BTnc201_logCPM	MAPS_BTnc201_F	MAPS_BTnc201_p_value	MAPS_BTnc201_FDR	id_lower	b_theta_rnaseq_WT_vs_del_MasB_log2FoldChange	b_theta_rnaseq_WT_vs_del_MasB_p_value	b_theta_rnaseq_WT_vs_del_MasB_padj	locus_tag
0.236908935482411	3.0315154109417	1.6571928731233	0.106899429798733	0.672026787903783	bt_3716	-0.065664884585512	0.573285841267538	0.875481174122672	BT_3716
0.18966926041223	4.19618464405788	1.65050620877573	0.107343492386239	0.674174491303653	bt_3691	-0.307365616545868	0.003066082133224	0.037521051924641	BT_3691
-0.499931774013176	0.957846224652887	1.64435473388939	1	0.676108068249869	bt_3563	-0.086893498247927	0.433649548226979	0.802718498493463	BT_3563
-0.460782305192687	1.57910856478409	1.63935805394007	1	0.676919308382675	bt_0621	0.267961820258835	0.096296805929783	0.406870684638656	BT_0621
0.203477281331479	8.79922891309259	1.64013875183762	0.108036634785846	0.676919308382675	bt_0655	-0.215169490391667	0.001003912434912	0.015709371652206	BT_0655
-0.623196370270575	0.422467824282002	1.63405377006972	1	0.678072736109785	bt_0739	-0.030838852666194	0.892216219432218	0.983198774735602	BT_0739
0.582178543360538	0.686384433399514	1.63356217750707	0.108479275466971	0.678072736109785	bt_1507	0.066370058701307	0.585198416306141	0.88335024969644	BT_1507
0.531708862396408	0.903153625491805	1.6302526473334	0.108702897123671	0.678825871791274	bt_2097	-0.069188038777277	0.417300944531361	0.787867911578389	BT_2097
0.640440871520149	0.305836826686964	1.62580354734786	0.109004442542152	0.680063735367247	bt_3965	0.132287955398071	0.523628422231628	0.851914805222555	BT_3965
-0.576317225859538	0.642288578358005	1.62002250452027	1	0.681450713194031	bt_0560	-0.131678193230399	0.292845869403006	0.675189104229629	BT_0560
-0.169302988570957	6.04370814531855	1.61949530938166	1	0.681450713194031	bt_4353	-0.032086825132353	0.675339711224776	0.912436058231807	BT_4353
